RepRapFirmware height map file v2 generated at 2021-08-12 18:27, min error -0.302, max error 0.212, mean -0.104, deviation 0.118
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,30.00,270.00,60.00,270.00,-1.00,59.99,52.49,5,5
 -0.010, -0.067, -0.127, -0.186, -0.228
 -0.126, -0.126, -0.138, -0.142, -0.138
 -0.236, -0.157, -0.134, -0.092, -0.028
 -0.302, -0.198, -0.097, -0.004,  0.088
 -0.298, -0.152, -0.012,  0.096,  0.212
